object,band,rise_time_days,decay_time_days,t0_days,peak_mag,chi2,baseline_chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,gp_dfdt_now,gp_dfdt_next,gp_d2fdt2_now,gp_predicted_mag_1d,gp_predicted_mag_2d,gp_time_to_peak,gp_extrap_slope,gp_T_peak,gp_T_now,gp_dTdt_peak,gp_dTdt_now,gp_sigma_f,gp_peak_to_peak,gp_snr_max,gp_dfdt_max,gp_dfdt_min,gp_frac_of_peak,gp_post_var_mean,gp_post_var_max,gp_skewness,gp_kurtosis,gp_n_inflections
ZTF25aaaalin,g,7.350,6.370,12.740,17.960,0.348,298.3,8,NaN,-0.359045,0.008395,-0.008285,-0.007439,0.000846,17.965666,17.964342,-6.288687,0.009867,16118.9,15580.8,-1.027,-250.706,0.904936,2.998091,567.074,0.046995,-0.380268,1.004529,0.003383,0.003383,1.420223,0.598598,3
ZTF25aaaalin,r,10.290,1.960,16.660,17.703,1.949,473.8,11,NaN,-0.291708,0.014093,0.021423,0.026703,0.005280,17.820694,17.853828,-7.349989,0.040457,16118.9,15580.8,-1.027,-250.706,0.843137,2.787426,814.363,0.022612,-0.301711,1.005156,0.011914,0.011914,1.224705,0.130640,1
ZTF25aaaawig,r,9.870,5.384,26.052,18.736,1.106,30.0,17,34.097,-0.120782,0.020214,0.037708,0.034534,-0.003174,19.384515,19.415815,-15.943258,0.028102,9876.3,6077.7,-29.024,-0.689,0.373172,1.477591,470.081,0.049242,-0.145449,1.045017,0.007898,0.007898,0.499500,-0.360377,1
ZTF25aaaawig,g,7.178,6.281,25.155,18.795,0.143,77.5,6,26.022,-0.060790,0.034510,0.021169,0.035696,0.014527,18.858840,18.908801,-1.862559,0.063559,9876.3,6077.7,-29.024,-0.689,0.635007,1.809043,551.747,0.114635,-0.066747,1.095583,0.000755,0.000755,0.419900,-1.286297,2
ZTF25aaaawig,i,1.795,1.795,26.052,19.184,0.003,3.0,7,33.200,-0.052813,-0.042394,-0.130198,0.127033,0.257230,19.311018,19.541638,0.012968,0.137683,9876.3,6077.7,-29.024,-0.689,0.201535,1.026590,168.723,0.233497,-0.235334,1.027628,0.000139,0.000139,-0.144127,0.927486,9
ZTF25aaabezb,r,14.381,2.615,21.571,18.199,0.338,78.3,8,NaN,-0.170697,0.074482,-0.044991,-0.028688,0.016303,18.317060,18.299023,9.507030,-0.012711,13484.5,9879.8,5.572,-418.932,0.503665,1.781590,658.716,0.087131,-0.187808,1.032796,0.001115,0.001115,1.378896,0.727791,4
ZTF25aaabezb,g,7.844,3.922,13.073,18.161,1.517,69.5,11,26.800,-0.229195,0.073915,-0.219397,-0.191264,0.028134,18.712665,18.551433,7.986906,-0.130709,13484.5,9879.8,5.572,-418.932,0.505300,2.061430,503.748,0.100454,-0.287779,1.047155,0.006517,0.006517,1.529917,1.731750,0
ZTF25aaabnwi,i,NaN,38.912,346.022,16.758,2.475,36.8,12,NaN,0.009626,0.004633,0.011054,0.011056,0.000002,17.485316,17.496373,-71.858299,0.011056,24084.2,10546.4,NaN,-22.593,0.578496,1.807195,663.370,0.011053,0.002438,1.107842,0.002436,0.002436,-0.237648,-1.308290,0
ZTF25aaabnwi,g,NaN,38.912,346.022,17.355,1.181,80.3,42,NaN,0.008295,0.008455,0.007525,0.007484,-0.000042,19.271352,19.278794,-211.851586,0.007400,24084.2,10546.4,NaN,-22.593,0.581722,1.908408,993.367,0.009855,0.007364,1.109960,0.001938,0.001938,0.007129,-1.274594,0
ZTF25aaabnwi,r,NaN,34.588,346.022,16.802,4.483,258.2,216,NaN,0.009999,0.004993,0.008109,0.008073,-0.000035,17.877209,17.885247,-112.895451,0.008002,24084.2,10546.4,NaN,-22.593,0.504193,1.663809,1480.048,0.010102,0.003860,1.099024,0.002462,0.002462,-0.283336,-1.183753,0
ZTF25aaabnxh,r,10.986,4.994,16.978,17.951,0.299,130.3,14,27.964,-0.176882,0.030665,-0.061466,-0.068567,-0.007101,18.200837,18.127665,5.962885,-0.070528,15375.1,8295.0,-47.895,-8.682,0.542428,2.457361,773.542,0.079878,-0.355473,1.074360,0.001892,0.001892,0.748188,0.556117,6
ZTF25aaabnxh,g,9.987,6.991,15.980,17.939,0.309,191.2,9,20.973,-0.212012,0.000256,-0.320212,-0.307099,0.013113,19.260533,18.980048,12.978702,-0.244402,15375.1,8295.0,-47.895,-8.682,0.628214,2.562356,817.148,0.120382,-0.320235,1.075143,0.002399,0.002399,0.161572,-0.518602,3
ZTF25aaacrjj,g,7.175,5.218,11.740,17.919,1.482,89.4,12,18.915,-0.303157,0.096822,0.023907,0.006394,-0.017512,19.596208,19.589198,-20.219240,-0.016072,15373.1,8183.6,26.049,-55.651,0.690057,2.492707,589.347,0.153469,-0.392854,1.093237,0.014486,0.014486,0.592772,-0.786367,2
ZTF25aaacrjj,r,5.218,6.522,9.784,17.953,0.094,46.9,8,20.219,-0.345388,0.042930,0.016755,0.020119,0.003365,17.991337,18.004697,-1.174344,0.004771,15373.1,8183.6,26.049,-55.651,0.642785,2.603211,391.307,0.115359,-0.433787,1.060631,0.000804,0.000804,1.207629,1.093913,4
ZTF25aaadqsi,g,10.695,48.127,49.487,17.337,8.380,1802.1,41,NaN,0.004511,0.013715,0.004176,0.004550,0.000373,17.358879,17.363748,-6.640769,0.005141,24017.3,5490.1,8.656,68.659,1.200199,3.658799,1307.517,0.070013,-0.032681,1.185511,0.026319,0.026319,-0.336715,-1.156447,3
ZTF25aaadqsi,r,5.347,53.474,38.792,16.602,15.137,4983.3,69,NaN,0.005195,0.015127,-0.000075,-0.001550,-0.001475,20.094228,20.091218,-231.537873,-0.004455,24017.3,5490.1,8.656,68.659,1.123141,3.493161,1848.036,0.072862,-0.039728,1.193362,0.027586,0.027586,0.067797,-1.068292,7
ZTF25aaadytl,r,10.514,18.399,21.028,16.995,7.485,1193.2,78,39.427,-0.070096,0.031401,-0.138161,-0.121751,0.016409,17.432354,17.327607,10.091505,-0.087830,20525.5,8995.6,16.445,70.604,0.693480,2.404199,1738.852,0.047405,-0.183897,1.138544,0.020127,0.020127,-0.212974,-0.887787,8
ZTF25aaadytl,g,10.514,15.771,18.399,17.632,4.669,661.7,62,26.285,-0.043758,0.014261,-0.047722,-0.052173,-0.004450,19.731782,19.678342,-80.420843,-0.051423,20525.5,8995.6,16.445,70.604,0.724331,2.493596,1493.544,0.106580,-0.167466,1.126873,0.065643,0.065643,-0.867345,-0.337790,8
ZTF25aaadytl,i,13.142,7.885,18.399,17.299,0.066,683.6,8,34.170,-0.075267,0.000000,-0.602822,-0.535817,0.067005,18.476883,18.085800,14.433046,-0.223703,20525.5,8995.6,16.445,70.604,0.514174,3.394501,1046.615,0.121639,-0.558538,1.047041,0.000219,0.000219,3.239144,13.877884,8
ZTF25aaaecsu,g,19.529,12.427,31.956,18.362,6.154,195.9,46,49.710,-0.097349,0.085842,0.033488,0.035508,0.002020,18.797818,18.835470,-21.993717,0.039917,13262.4,5903.5,1.898,-129.166,0.814318,2.773017,1409.533,0.092152,-0.138405,1.151015,0.035729,0.035729,0.758482,-0.658174,1
ZTF25aaaecsu,r,21.304,12.427,39.058,18.244,4.673,194.1,64,55.036,-0.060492,0.046093,0.045564,0.045167,-0.000397,19.814005,19.858730,-45.933567,0.044238,13262.4,5903.5,1.898,-129.166,0.526976,1.682653,845.709,0.046911,-0.069293,1.088483,0.073784,0.073784,0.438433,-1.138169,1
ZTF25aaaecsu,i,17.754,10.652,39.058,18.151,0.731,45.9,7,51.485,-0.062406,0.013235,0.030378,0.029869,-0.000509,18.615382,18.644618,-18.958972,0.028496,13262.4,5903.5,1.898,-129.166,0.533887,1.931836,521.572,0.030942,-0.073969,1.051214,0.008003,0.008003,0.707121,-0.269452,2
ZTF25aaaeykb,r,NaN,4.939,0.000,18.603,0.532,3.8,9,NaN,0.015138,0.049877,0.049871,0.050132,0.000262,19.276010,19.326100,-18.910301,0.049746,9704.0,6362.2,-4.684,-170.634,0.241648,0.777731,230.624,0.050156,0.007478,1.041808,0.009433,0.009433,0.416413,-1.138170,1
ZTF25aaaeykb,g,2.245,4.041,4.490,19.242,0.633,4.9,11,NaN,-0.018193,0.079641,-0.030379,-0.021459,0.008920,19.255830,19.244142,2.573363,-0.001271,9704.0,6362.2,-4.684,-170.634,0.363264,1.102455,281.485,0.087667,-0.039700,1.057294,0.012969,0.012969,0.657048,-1.028837,1
ZTF25aaaeyzz,r,2.274,7.581,18.484,17.261,4.427,30.9,16,NaN,0.000332,0.022236,0.009978,0.010819,0.000842,17.334209,17.345859,-11.495621,0.012470,21650.1,13767.1,-41.901,-169.770,0.138538,0.446047,1221.908,0.024411,-0.003345,1.025841,0.001299,0.001299,0.736544,-0.774238,0
ZTF25aaaeyzz,g,5.306,3.790,21.516,17.140,0.323,139.9,18,28.048,-0.082133,0.096911,-0.014610,0.032266,0.046876,17.413903,17.511267,-6.367165,0.134207,21650.1,13767.1,-41.901,-169.770,0.408582,1.525196,1455.205,0.146244,-0.368005,1.088985,0.000171,0.000171,0.495938,-0.382940,9
ZTF25aaafbbk,r,3.587,16.143,8.969,16.910,2.935,2789.7,24,28.699,-0.118522,0.080110,0.051265,0.072270,0.021005,17.088506,17.170657,-12.094628,0.080709,22447.9,7503.3,-24.871,-6.427,0.869519,3.504926,1699.767,0.169551,-0.604698,1.178787,0.000922,0.000922,0.530324,-0.213317,10
ZTF25aaafbbk,g,8.969,10.762,16.143,16.859,84.975,3580.7,35,19.731,-0.170904,0.012670,0.000635,0.010764,0.010129,16.871368,16.892501,-0.882185,0.033627,22447.9,7503.3,-24.871,-6.427,1.109952,3.764875,1656.226,0.195982,-0.390399,1.187224,0.049891,0.049891,-0.795954,-0.785537,7
ZTF25aaafbbk,i,5.381,14.350,10.762,17.439,0.014,473.6,6,23.318,-0.101048,-0.000078,0.006651,0.013083,0.006432,17.565349,17.590252,-7.320462,0.040293,22447.9,7503.3,-24.871,-6.427,0.508955,2.699102,787.795,0.093908,-0.383752,1.064508,0.000069,0.000069,0.212534,1.851775,7
ZTF25aaahknq,i,4.473,2.237,11.183,18.227,0.143,22.7,6,NaN,-0.127994,0.000026,0.070498,0.093288,0.022790,18.417845,18.512300,-1.777482,0.075144,13144.2,7502.4,-43.804,-91.785,0.337183,1.477342,383.994,0.096390,-0.216466,1.030286,0.000856,0.000856,1.262403,1.907833,4
ZTF25aaahknq,g,8.946,7.828,16.774,18.420,0.708,83.1,8,22.365,-0.175672,0.018317,-0.082307,-0.061798,0.020509,18.490772,18.448854,3.918522,-0.023028,13144.2,7502.4,-43.804,-91.785,0.647068,2.380013,601.980,0.078411,-0.220758,1.091443,0.010360,0.010360,-0.038746,-1.146996,2
ZTF25aaahknq,r,5.591,11.183,11.183,17.951,0.539,99.1,13,30.193,-0.213030,0.018075,-0.014845,-0.004691,0.010154,18.100092,18.116493,-7.696197,0.043932,13144.2,7502.4,-43.804,-91.785,0.648490,2.659221,489.025,0.111441,-0.373953,1.093519,0.002442,0.002442,0.556938,-0.266509,7
ZTF25aaakjsi,g,6.368,6.368,12.736,18.036,0.114,38.1,8,20.165,-0.158530,0.000910,0.073440,0.076836,0.003396,18.377844,18.455432,-5.262069,0.076239,14696.8,8070.5,-50.661,-38.103,0.449068,1.895145,278.297,0.077506,-0.224655,1.061690,0.002182,0.002182,-0.263043,-0.474826,2
ZTF25aaakjsi,r,7.429,6.368,14.858,18.030,0.256,28.5,11,30.778,-0.146647,0.050057,0.034919,0.027702,-0.007217,19.523124,19.543348,-35.134891,0.012745,14696.8,8070.5,-50.661,-38.103,0.497340,1.796243,264.758,0.059536,-0.181406,1.083971,0.001935,0.001935,0.233171,-1.006828,4
ZTF25aaakkzs,g,8.094,5.396,12.816,18.434,0.936,24.2,15,24.282,-0.159206,0.042401,-0.116206,-0.085808,0.030399,18.572919,18.513577,6.679314,-0.038233,10944.8,7559.8,-15.365,-47.313,0.385388,1.344481,329.444,0.085216,-0.224296,1.051849,0.009403,0.009403,0.444027,-1.083230,2
