object,band,variant,rise_time_days,decay_time_days,peak_time_days,chi2,n_obs,fwhm_days,rise_rate_mag_per_day,decay_rate_mag_per_day,powerlaw_amplitude,powerlaw_index
ZTF25aaaalin,r,Full,2.811,1808.042,7.755,1.051,11,6.877,-0.312014,0.009650,NaN,NaN
ZTF25aaaalin,g,Full,2.259,1454.236,6.973,0.714,8,6.395,-0.391408,0.014590,NaN,NaN
ZTF25aaaalin,i,Full,1.050,874.590,5.603,0.034,2,5.550,-0.905871,0.001241,NaN,NaN
ZTF25aaaawig,r,Bazin,3.813,24.304,18.291,1.357,17,43.968,-0.123451,0.035320,NaN,NaN
ZTF25aaaawig,i,Bazin,3.523,9.712,19.892,0.588,7,11.710,-0.065250,0.018406,NaN,NaN
ZTF25aaaawig,g,Bazin,3.279,5.599,26.850,0.028,6,43.968,-0.085273,0.040585,NaN,NaN
ZTF25aaabezb,g,Bazin,3.466,20.798,7.994,1.375,11,32.029,-0.232331,0.059481,NaN,NaN
ZTF25aaabezb,r,Bazin,18.404,1.000,-100.000,96.274,8,NaN,0.000000,-0.000000,NaN,NaN
ZTF25aaabezb,i,Bazin,1.000,26.052,8.588,0.170,4,32.029,-2.570281,0.067888,NaN,NaN
ZTF25aaabnwi,r,Full,0.024,188.958,100.000,42.097,216,80.908,0.005746,0.005746,NaN,NaN
ZTF25aaabnwi,g,Full,0.009,241.456,100.000,22.043,42,44.712,0.004497,0.004497,NaN,NaN
ZTF25aaabnwi,i,Full,0.039,231.299,100.000,12.629,12,51.100,0.004694,0.004694,NaN,NaN
ZTF25aaabnxh,r,Full,3.171,21.559,9.667,1.440,14,48.937,-0.182049,0.050347,NaN,NaN
ZTF25aaabnxh,g,Full,2.967,17.569,10.416,0.351,9,48.937,-0.219732,0.061790,NaN,NaN
ZTF25aaacrjj,g,Full,3.422,11.200,8.756,2.351,12,31.959,-0.250943,0.095646,NaN,NaN
ZTF25aaacrjj,r,Full,2.210,30.445,5.704,0.294,8,4.657,-0.321545,0.035635,NaN,NaN
ZTF25aaadqsi,r,FastDecay,NaN,9.879,100.000,61.022,69,185.655,0.005047,0.109903,NaN,NaN
ZTF25aaadqsi,g,FastDecay,NaN,15.324,90.000,8.412,41,196.189,0.009053,0.070852,NaN,NaN
ZTF25aaadqsi,i,FastDecay,NaN,4.393,100.000,0.390,3,188.289,0.004133,0.080551,NaN,NaN
ZTF25aaadytl,r,Bazin,3.899,33.115,13.259,15.909,78,128.796,-0.068184,0.019451,NaN,NaN
ZTF25aaadytl,g,Bazin,2.766,17.591,11.741,10.530,62,128.796,-0.045887,0.002827,NaN,NaN
ZTF25aaadytl,i,Bazin,3.955,33.115,15.639,6.472,8,128.796,-0.086176,0.020489,NaN,NaN
ZTF25aaaecsu,r,Full,8.667,28.054,31.134,4.317,64,86.992,-0.084257,0.037908,NaN,NaN
ZTF25aaaecsu,g,Full,10.026,17.528,35.622,6.032,46,86.992,-0.071640,0.059882,NaN,NaN
ZTF25aaaecsu,i,Full,9.347,25.516,35.238,0.594,7,86.992,-0.081747,0.040934,NaN,NaN
ZTF25aaaeykb,g,Bazin,1.994,22.626,-1.302,0.479,11,5.196,-0.031663,0.079196,NaN,NaN
ZTF25aaaeykb,r,Bazin,7.580,10.701,11.379,0.395,9,NaN,-0.007538,0.072199,NaN,NaN
ZTF25aaaeyzz,g,Full,2.798,15.659,16.733,10.562,18,16.053,-0.072212,0.069324,NaN,NaN
ZTF25aaaeyzz,r,Full,7.607,42.566,11.964,4.038,16,NaN,-0.017367,0.023946,NaN,NaN
ZTF25aaaeyzz,i,Full,7.607,38.665,6.733,0.034,1,NaN,0.002552,0.027291,NaN,NaN
ZTF25aaafbbk,g,Full,2.344,12.496,7.057,11.932,35,87.892,-0.131111,0.086884,NaN,NaN
ZTF25aaafbbk,r,Full,2.838,22.519,8.825,9.414,24,87.892,-0.137044,0.048215,NaN,NaN
ZTF25aaafbbk,i,Full,2.566,33.104,6.823,0.449,6,87.892,-0.098589,0.032798,NaN,NaN
ZTF25aaahknq,r,Full,2.350,28.301,8.167,1.570,13,54.795,-0.199840,0.038364,NaN,NaN
ZTF25aaahknq,g,Full,3.617,13.593,12.265,0.537,8,54.795,-0.179834,0.079855,NaN,NaN
ZTF25aaahknq,i,Full,2.293,24.249,6.743,0.738,6,54.795,-0.174988,0.044775,NaN,NaN
ZTF25aaakjsi,r,Full,3.235,24.685,7.848,0.363,11,52.004,-0.158445,0.043980,NaN,NaN
ZTF25aaakjsi,g,Full,3.301,13.801,8.711,0.092,8,52.004,-0.157489,0.078666,NaN,NaN
ZTF25aaakjsi,i,Full,1.190,18.384,-1.896,0.486,3,36.585,0.051135,0.059058,NaN,NaN
ZTF25aaakkzs,r,Full,3.196,21.664,7.680,0.835,18,33.051,-0.183436,0.049607,NaN,NaN
ZTF25aaakkzs,g,Full,3.483,21.194,7.609,1.149,15,33.051,-0.163503,0.050457,NaN,NaN
ZTF25aaakkzs,i,Full,3.007,16.439,4.885,0.537,8,33.051,-0.133537,0.065903,NaN,NaN
ZTF25aaamyjq,r,Full,3.543,25.152,6.868,1.077,14,50.889,-0.145980,0.043157,NaN,NaN
ZTF25aaamyjq,g,Full,3.964,12.365,8.579,6.067,10,50.889,-0.142750,0.087771,NaN,NaN
ZTF25aaamyjq,i,Full,9.631,9.253,16.447,1.095,6,50.889,-0.076898,0.111384,NaN,NaN
ZTF25aaaoupu,g,Bazin,2.806,22.164,3.821,0.889,18,34.932,-0.193767,0.092366,NaN,NaN
